tox_cas_edf_id,tox_chemical_name,tox_category,tox_cancer,tox_cardiovascular_blood,tox_developmental,tox_endocrine,tox_gastrointestinal_liver,tox_immunotoxicity,tox_kidney,tox_musculoskeletal,tox_neurotoxicity,tox_reproductive,tox_respiratory,tox_skin_sense
50-78-2,ACETYLSALICYLIC ACID,recognized,False,False,True,False,False,False,False,False,False,True,False,False
50-78-2,ACETYLSALICYLIC ACID,suspected,False,True,False,False,True,False,True,True,True,False,True,True
50-99-7,2-D-GLUCOSE,suspected,False,False,False,False,False,False,False,False,False,False,False,True
500-28-7,CHLORTHION (CHLOROTHION),suspected,False,False,False,False,False,False,False,False,True,False,False,True
502-39-6,METHYLMERCURIC DICYANAMIDE,recognized,False,False,True,False,False,False,False,False,False,False,False,False
504-24-5,"PYRIDINE, 4-AMINO-",suspected,False,False,False,False,True,False,False,False,True,False,True,False
504-29-0,2-AMINOPYRIDINE,suspected,False,False,False,False,False,False,False,False,True,False,False,False
504-63-2,"1,3-Propanediol",suspected,False,False,False,False,False,False,False,False,True,False,False,False
50471-44-8,VINCLOZOLIN,recognized,True,False,True,False,False,False,False,False,False,False,False,False
50471-44-8,VINCLOZOLIN,suspected,False,False,False,True,True,False,True,False,False,False,False,False
505-60-2,MUSTARD GAS,recognized,True,False,False,False,False,False,False,False,False,False,False,False
505-60-2,MUSTARD GAS,suspected,False,False,True,False,True,False,False,False,True,True,False,True
506-77-4,CYANOGEN CHLORIDE,suspected,False,False,False,False,False,False,False,False,True,False,True,True
506-93-4,GUANIDINE MONONITRATE,suspected,False,False,False,False,False,False,False,False,True,False,False,False
5064-31-3,"ACETIC ACID, NITRILOTRI-, TRISODIUM SALT",suspected,False,False,False,False,True,False,False,False,False,False,False,False
50782-69-9,"PHOSPHONOTHIOIC ACID, METHYL-, S-(2-(BIS(1-METHYLETHYL)AMINO)ETHYL)O-ETHYL ESTER",suspected,False,False,False,False,True,False,False,False,True,False,True,False
50864-67-0,Barium sulfide,suspected,False,False,False,False,False,False,False,False,True,False,True,False
509-14-8,TETRANITROMETHANE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
509-14-8,TETRANITROMETHANE,suspected,False,True,False,False,True,False,False,False,True,False,True,True
51-03-6,PIPERONYL BUTOXIDE,suspected,True,False,False,False,True,False,False,False,True,True,False,False
51-06-9,PROCAINAMIDE,suspected,False,True,False,False,False,False,False,True,True,False,True,False
51-18-3,TRIETHYLENEMELAMINE,suspected,False,False,False,False,False,False,False,False,False,True,False,False
51-21-8,FLUOROURACIL,recognized,False,False,True,False,False,False,False,False,False,False,False,False
51-21-8,FLUOROURACIL,suspected,False,True,False,False,True,False,False,False,True,False,False,False
51-28-5,"2,4-DINITROPHENOL",suspected,False,True,True,False,True,False,False,False,True,True,False,True
51-43-4,EPINEPHRINE,suspected,False,False,False,False,True,False,False,False,True,False,False,False
51-52-5,PROPYLTHIOURACIL,recognized,True,False,True,False,False,False,False,False,False,False,False,False
